Country,Life_expectancy_at_birth_2022_(years),Expected_years_of_schooling_2022_(years),Mean_years_of_schooling_2022_(years),Gross_national_income_(GNI)_per_capita_(2017_PPP_$),Class
Switzerland,84.255,16.5837307,13.90406622,69432.78669,4
Norway,83.393,18.63846016,13.06234279,69189.76165,4
Iceland,82.815,19.10672951,13.76716995,54688.37921,4
Hong_Kong_China_SAR,84.315,17.8495903,12.34776974,62485.50516,4
Denmark,81.882,18.77403069,12.96049023,62018.95694,4
Sweden,83.505,19.03676987,12.67372015,56995.84796,4
Germany,80.989,17.34334946,14.25594044,55340.19722,4
Ireland,82.716,19.12610054,11.6569568,87467.51391,4
Singapore,84.133,16.90273094,11.92488003,88761.14559,4
Australia,83.579,21.0800209,12.72681999,49257.1352,4
Netherlands,82.451,18.58348083,12.58162975,57278.31015,4
Belgium,82.293,18.94573975,12.52857789,53644.03854,4
Finland,82.351,19.22859001,12.92915501,49522.09853,4
Liechtenstein,84.656,15.46640015,12.351169,146673.2415,4
United_Kingdom,82.156,17.6342907,13.4061203,46623.90269,4
New_Zealand,83.006,19.68234062,12.94468975,43665.49848,4
United_Arab_Emirates,79.196,17.20813942,12.77375031,74103.71494,4
Canada,82.847,15.96065044,13.86876597,48444.39319,4
Korea_Republic_of,84.024,16.50964928,12.61409234,46026.4542,4
Luxembourg,82.591,14.19705009,12.9600811,78554.2364,4
United_States,78.203,16.41274071,13.57549953,65564.93798,4
Austria,82.412,16.36746025,12.30571367,56529.66329,4
Slovenia,82.133,17.40657997,12.88015724,41586.89849,4
Japan,84.82,15.45631981,12.66923046,43643.86417,4
Israel,82.601,15.02984047,13.44279092,43588.25725,4
Malta,83.704,15.86133957,12.21026039,44464.03057,4
Spain,83.912,17.80905914,10.60540009,40043.33773,4
France,83.229,15.98756027,11.68859246,47378.74304,4
Cyprus,81.889,16.24308968,12.44017029,40136.89453,4
Italy,84.057,16.65806007,10.7401104,44284.15735,4
Estonia,79.155,15.94297981,13.54843044,37151.63384,4
Czechia,78.129,16.3472805,12.91605342,39944.66682,4
Greece,80.614,20.02638054,11.40853024,31381.667,4
Bahrain,79.246,16.29968071,11.04658985,48731.44564,4
Andorra,83.552,12.7837801,11.61343956,54233.44948,4
Poland,76.996,15.93451977,13.1647501,35150.9519,4
Latvia,75.927,16.55606079,13.33330305,32082.98104,4
Lithuania,74.293,16.39982986,13.49810028,38131.23588,4
Croatia,79.236,15.57269955,12.32871821,34323.80663,4
Qatar,81.559,13.26426983,10.1317219,95944.37754,4
Saudi_Arabia,77.905,15.17204484,11.31052971,50620.43706,4
Portugal,82.24,16.82140923,9.575940132,35314.99828,4
San_Marino,83.433,12.40295982,10.52074301,57686.54334,4
Chile,79.519,16.76792908,11.11136804,24430.99593,4
Slovakia,75.33,14.72154999,13.00719575,32171.24606,4
Türkiye,78.475,19.68494987,8.811284129,32833.53512,4
Hungary,74.958,15.07330036,12.24958992,34195.54059,4
Argentina,76.064,18.97950935,11.14408016,22047.97131,4
Kuwait,80.264,15.6911416,7.441742908,56729.18152,4
Montenegro,76.845,15.08475971,12.61621288,22513.26314,4
Saint_Kitts_and_Nevis,72.027,18.40703011,10.8494008,28441.68074,4
Uruguay,78,17.35183907,9.058219782,22206.99029,4
Romania,74.117,14.50753021,11.36019615,31641.38368,4
Antigua_and_Barbuda,79.236,15.51232774,10.54622968,18783.96536,4
Brunei_Darussalam,74.551,13.69861984,9.22,59245.63485,4
Russian_Federation,70.116,15.66174936,12.41152954,26991.84961,4
Bahamas,74.358,11.89137971,12.73161494,32534.88784,4
Panama,76.826,13.21381473,10.68696295,32029.36025,4
Oman,73.935,12.96403027,11.89274979,32967.43827,4
Georgia,71.587,16.72682953,12.70217037,15952.02452,4
Trinidad_and_Tobago,74.708,14.1010764,11.73800258,22473.03876,4
Barbados,77.706,16.53069367,9.89206168,14810.23783,4
Malaysia,76.26,12.93247032,10.74828052,27295.41224,4
Costa_Rica,77.32,16.09200378,8.804059982,20248.38031,4
Serbia,74.137,14.50444031,11.5047611,19494.00891,4
Thailand,79.68,15.58131027,8.834560711,16886.51113,4
Kazakhstan,69.489,14.81626987,12.43337895,22586.79889,4
Seychelles,71.738,13.89179039,11.19995,28385.74806,4
Belarus,73.246,13.98153019,12.24122445,18425.01061,4
