Code,Return,Beta,Net_Profit_Margin,ROA,ROE,EPS,P_E,P_BV,class
A1,86.692,1.146,10.327,4.94,22.855,402,7.169,2.183,2
A2,23.666,0.322,31.513,21.389,29.745,9331.333,6.701,1.905,
A3,24.695,1.794,2.418,2.644,9.642,127.333,16.885,1.007,
A4,24.145,1.489,30.193,6.101,21.223,469.667,11.951,1.742,3
A5,0.279,1.42,-1.236,-0.081,-39.005,-58.333,100,3.051,
A6,103.495,1.379,12.536,14.722,59.18,2603.667,7.738,2.981,
A7,35.747,1.005,52.491,34.533,44.535,1565.333,7.145,3.172,
A8,121.102,1.103,2.073,0.758,-28.316,58.667,69.733,20.786,
A9,31.643,1.146,-10.159,-6.553,-47.223,-505.333,250,0.828,
A10,67.379,1.276,72.002,61.141,85.927,7527.333,4.853,4.228,
A11,204.761,1.302,17.371,24.637,59.911,3313.333,8.091,3.121,
A12,97.489,0.593,45.938,14.533,45.104,1171.667,8.333,3.108,1
A13,100.181,1.391,64.639,43.411,68.788,4802.333,6.142,4.075,
A14,46.36,0.939,14.166,11.607,26.443,743.667,14.388,1.911,
A15,46.993,1.159,96.066,14.912,19.765,374,9.979,1.765,
A16,54.133,1.186,62.478,41.887,56.698,1506.667,5.569,3.994,
A17,82.361,1.023,28.614,14.808,34.276,664,11.682,2.669,3
A18,61.004,0.471,144.01,29.242,50.169,3060.333,9.156,7.513,2
A19,49.54,1.967,29.94,18.873,36.125,1005,10.14,2.547,
A20,115.57,0.964,31.935,23.115,60.48,2673.667,8.684,3.436,
A21,-9.145,1.141,37.453,4.916,25.06,628.333,2.726,1.694,
A22,-4.476,1.953,-1.696,-1.009,-4.421,-46,130,0.773,
A23,-2.406,0.955,-9.333,-2.995,-36.529,-209.667,200,2.246,
A24,36.293,1.944,-0.547,-0.863,-10.613,-72,105,1.771,
A25,62.824,0.749,39.808,7.556,27.533,653.333,8.608,1.929,
A26,129.896,1.148,17.002,11.337,29.042,569.333,11.715,1.78,3
A27,78.941,1.499,29.087,17.412,36.373,755,8.886,1.81,
A28,148.506,0.617,32.868,24.777,45.046,1088.333,7.491,2.203,
A29,11.437,0.95,3.559,2.428,11.377,188,10.856,1.306,
A30,105.115,0.1,64.46,27.252,58.391,1484,6.147,3.021,
A31,263.307,2.563,24.245,25.116,57.525,2080.667,9.479,2.521,
A32,-1.221,0.739,21.956,26.824,38.109,831.333,5.797,2.823,
A33,139.535,0.739,26.339,31.301,62.479,3465.667,2.71,4.585,1
A34,50.781,1.223,27.082,16.003,34.194,669.667,6.455,1.936,
A35,75.047,0.463,28.002,24.719,36.402,737.667,13.066,4.583,
A36,32.199,1.017,49.163,32.073,41.901,1034.333,4.15,2.015,2
A37,67.954,0.913,12.533,12.901,23.099,404,9.757,2.814,
A38,50.416,3.421,19.395,13.415,31.608,621.667,13.388,2.398,
A39,12.917,0.881,43.592,10.996,19.705,503.667,4.888,0.843,
A40,67.118,1.652,26.533,3.878,14.733,545.333,15.937,1.758,
A41,79.686,1.124,61.344,36.966,54.492,1554.667,6.645,3.617,
A42,171.557,1.419,49.806,25.332,38.578,1207.667,7.635,1.895,
A43,9.669,0.762,103.157,13.723,18.348,436.667,7.754,2.494,
A44,62.877,1.628,2.492,3.057,16.364,247.333,13.35,1.267,
A45,150.822,0.788,37.259,31.046,36.09,2201.667,12.932,4.325,3
A46,23.018,0.87,101.85,23.686,27.024,570,4.323,1.715,
A47,1.738,1.107,9.433,9.698,15.379,160,13.85,1.649,
A48,18.465,0.64,42.077,25.043,37.398,879.667,3.623,1.415,
A49,31.448,1.6,-2.41,-2.643,-16.397,-114.333,180,1.554,
A50,90.647,1.31,20.255,20.052,68.113,3219.333,13.216,5.363,
