#directions,increasing,increasing,increasing,increasing,increasing,increasing,increasing,increasing
#mode,class
type,class,Return,Beta,Net_Profit_Margin,ROA,ROE,EPS,P_E,P_BV
at-least,2,148.506,,,,,,,
at-least,3,,3.421,,,,,,
at-least,2,,0.762,,,,,,
at-least,2,,,49.163,,,,,
at-least,2,,,,32.073,,,,
at-least,2,,,,,68.113,,,
at-least,2,,,,,,4802.333,,
at-least,2,,,,,,,8.684,
at-least,3,,,,,,,,20.786
at-least,2,,,,,,,,5.363
at-least,2,115.57,,31.935,,,,,
at-least,3,150.822,,,31.046,,,,
at-least,2,100.181,,,,,,6.142,
at-least,3,150.822,,,,,,,4.325
at-least,3,90.647,,,,,,,5.363
at-least,3,,1.489,30.193,,,,,
at-least,2,,0.64,42.077,,,,,
at-least,3,,1.42,,,,,,3.051
at-least,3,,0.788,,,,,,4.325
at-least,2,,,28.614,14.808,,,,
at-least,2,,,27.082,16.003,,,,
at-least,2,,,31.935,,60.48,,,
at-least,2,,,31.935,,,2673.667,,
at-least,2,,,37.259,,,2201.667,,
at-least,2,,,31.935,,,,,3.436
at-least,2,,,28.002,,,,,4.583
at-least,2,,,,14.722,,,7.738,
at-least,2,,,,27.252,,,6.147,
at-least,2,,,,16.003,,,6.455,
at-least,2,,,,,56.698,,5.569,
at-least,2,,,,,54.492,,6.645,
at-least,3,,,,,68.113,,,5.363
at-least,2,,,,,,1506.667,5.569,
at-least,2,,,,,,1484.0,6.147,
at-least,2,,,,,,1207.667,7.635,
at-least,3,,,,,,3219.333,,5.363
at-least,2,,,,,,,7.145,3.172
at-least,2,,,,,,,4.853,4.228
at-least,2,,,,,,,8.091,3.121
at-least,2,,,,,,,5.569,3.994
at-least,2,,,,,,,6.645,3.617
at-least,3,67.118,1.652,26.533,,,,,
at-least,3,150.822,,37.259,,,2201.667,,
at-least,3,75.047,,28.002,,,,,4.583
at-least,2,23.018,,,23.686,,,4.323,
at-least,2,18.465,,,25.043,,,3.623,
at-least,2,,0.617,32.868,,45.046,,,
at-least,2,,0.617,32.868,,,1088.333,,
at-least,2,,0.617,32.868,,,,,2.203
at-least,2,,0.617,,,45.046,,7.491,
at-least,2,,0.617,,,,1088.333,7.491,
at-least,2,,0.64,,,,879.667,3.623,
at-least,2,,0.617,,,,,7.491,2.203
at-least,3,,,37.259,31.046,,,,4.325
at-least,2,,,,25.043,,879.667,3.623,
at-least,2,18.465,0.64,,,37.398,,3.623,
at-most,2,-9.145,,,,,,,
at-most,2,,0.322,,,,,,
at-most,2,,,,,,,9.156,
at-most,1,,,,,,,2.71,
at-most,2,62.824,0.749,,,,,,
at-most,2,12.917,0.881,,,,,,
at-most,2,23.018,0.87,,,,,,
at-most,2,,0.881,,10.996,,,,
at-most,2,,0.87,,23.686,,,,
at-most,2,,0.749,,,27.533,,,
at-most,2,,0.881,,,19.705,,,
at-most,2,,0.87,,,27.024,,,
at-most,2,,0.749,,,,653.333,,
at-most,2,,0.881,,,,503.667,,
at-most,2,,0.87,,,,570.0,,
at-most,2,,0.593,,,,,,3.108
at-most,2,,0.739,,,,,,2.823
at-most,2,,0.881,,,,,,0.843
at-most,2,,0.762,,,,,,2.494
at-most,2,,0.87,,,,,,1.715
at-most,1,,,21.956,,,,5.797,
at-most,1,,0.593,,,,1171.667,8.333,
at-most,1,,0.739,,,,831.333,5.797,
