#directions,decreasing,decreasing,increasing,increasing,increasing
#mode,score
type,class,g1,g2,g3,g4,g5
at-least,16.67,17000.0,,,,
at-least,41.67,15350.0,,,,
at-least,50.0,14250.0,,,,
at-least,66.67,12650.0,,,,
at-least,75.0,11500.0,,,,
at-least,100.0,10000.0,,,,
at-least,16.67,,3700.0,,,
at-least,41.67,,3200.0,,,
at-least,50.0,,3150.0,,,
at-least,66.67,,2650.0,,,
at-least,75.0,,2500.0,,,
at-least,100.0,,2000.0,,,
at-least,16.67,,,2.0,,
at-least,41.67,,,3.0,,
at-least,50.0,,,4.0,,
at-least,75.0,,,5.0,,
at-least,100.0,,,7.0,,
at-least,16.67,,,,2.0,
at-least,50.0,,,,3.0,
at-least,75.0,,,,5.0,
at-least,100.0,,,,7.0,
at-least,41.67,,,,,2.0
at-least,50.0,,,,,3.0
at-least,66.67,,,,,5.0
at-least,75.0,,,,,7.0
at-least,66.67,,,4.0,4.0,
at-most,0.0,18000.0,,,,
at-most,16.67,16500.0,,,,
at-most,41.67,15350.0,,,,
at-most,50.0,13750.0,,,,
at-most,66.67,12650.0,,,,
at-most,75.0,11000.0,,,,
at-most,0.0,,4000.0,,,
at-most,16.67,,3500.0,,,
at-most,41.67,,3200.0,,,
at-most,50.0,,2850.0,,,
at-most,66.67,,2650.0,,,
at-most,75.0,,2100.0,,,
at-most,16.67,,,2.0,,
at-most,50.0,,,3.0,,
at-most,66.67,,,4.0,,
at-most,75.0,,,6.0,,
at-most,41.67,,,,2.0,
at-most,66.67,,,,4.0,
at-most,50.0,,,,3.0,
at-most,75.0,,,,6.0,
at-most,16.67,,,,,1.0
at-most,41.67,,,,,2.0
at-most,50.0,,,,,3.0
at-most,75.0,,,,,5.0
at-most,0.0,,,1.0,1.0,
at-most,0.0,,,,1.0,1.0
